LGA,lga_name,lga_state,capacity_lga,dwellings_lga,instals_lga,density_lga,capunder10,cap10_100,capover100,countunder10,count10_100,count100
"60810","Central Coast (M)","TAS","6788","10292","1523","14.1","5477","1311","0","1453","70","0"
"61010","Central Highlands (M)","TAS","566","1000","129","12.5","457","109","0","125","4","0"
"61210","Circular Head (M)","TAS","2220","3743","398","9.9","1586","634","0","369","29","0"
"61410","Clarence (C)","TAS","14249","24501","3681","14.6","12380","1869","0","3585","96","0"
"61510","Derwent Valley (M)","TAS","2744","4854","609","12.1","2119","625","0","587","22","0"
"61610","Devonport (C)","TAS","6684","11706","1410","11.6","4827","1086","771","1361","49","2"
"61810","Dorset (M)","TAS","2458","4051","593","14","2008","450","0","569","24","0"
"62010","Flinders (M)","TAS","4817","615","190","29.4","564","153","4100","181","9","1"
"62210","George Town (M)","TAS","2676","3350","617","17.8","2300","376","0","596","21","0"
"62410","Glamorgan/Spring Bay (M)","TAS","2377","3739","581","15.1","1925","452","0","563","18","0"
"62610","Glenorchy (C)","TAS","8177","19010","2265","11.6","6846","1331","0","2210","55","0"
"62810","Hobart (C)","TAS","11036","18851","2683","13.7","8286","2345","405","2575","108","1"
"63010","Huon Valley (M)","TAS","6631","8263","1628","19.1","5409","1222","0","1575","53","0"
"63210","Kentish (M)","TAS","2254","2749","527","18.2","1711","543","0","499","28","0"
"63410","King Island (M)","TAS","1911","812","267","28.9","1157","660","94","235","32","1"
"63610","Kingborough (M)","TAS","11939","16411","3052","18.2","10364","1296","279","2987","65","2"
"63810","Latrobe (M)","TAS","3566","5258","837","15.4","3063","503","0","808","29","0"
"64010","Launceston (C)","TAS","18452","27663","3883","13.4","13455","4546","451","3710","173","2"
"64210","Meander Valley (M)","TAS","6980","9082","1513","16","5450","1530","0","1455","58","0"
"64610","Northern Midlands (M)","TAS","5214","5987","963","15.1","3244","1723","247","904","59","1"
"64810","Sorell (M)","TAS","4184","7465","1200","15.8","3825","359","0","1179","21","0"
"65010","Southern Midlands (M)","TAS","1679","2783","421","14.8","1436","243","0","411","10","0"
"65210","Tasman (M)","TAS","1044","2235","278","12","894","150","0","269","9","0"
"65410","Waratah/Wynyard (M)","TAS","4213","6735","947","13.5","3506","707","0","911","36","0"
"65610","West Coast (M)","TAS","804","2693","175","6.3","639","165","0","171","4","0"
"65810","West Tamar (M)","TAS","8745","10386","2177","20.4","7716","1029","0","2118","59","0"
"70200","Alice Springs (T)","NT","19053","11251","2310","19.6","9451","3609","5993","2209","101","10"
"70420","Barkly (R)","NT","1976","2711","174","5.6","701","557","718","151","23","2"
