postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"0880","23","1626","0.9","663","45","184","435","15","7","1","0","0","0"
"0886","9","553","0.7","132","21","111","0","4","5","0","10849","69,436","16.6"
"2000","46","821","2.3","2097","71","770","1257","19","23","4","56265","360,097","72.1"
"2007","19","288","5.2","144","49","95","0","15","4","0","16683","106,772","21.4"
"2008","64","1240","3.9","632","123","509","0","48","16","0","19225","123,041","24.7"
"2009","15","583","1.9","907","37","150","720","11","2","2","18489","118,330","23.8"
"2010","140","4178","2.9","919","369","550","0","122","18","0","55246","353,576","71.1"
"2011","35","1424","1.8","416","78","337","0","25","10","0","27559","176,379","35.7"
"2015","190","1882","7.7","2120","479","1449","193","145","44","1","111985","716,707","144.7"
"2016","106","2135","4.6","752","294","173","284","99","6","1","25204","161,303","32.4"
"2017","58","1241","3.3","636","144","492","0","41","17","0","38899","248,954","50"
"2018","281","2681","10.0","1202","930","272","0","268","13","0","55474","355,036","71.4"
"2019","269","2400","9.9","1814","764","1050","0","238","31","0","111059","710,774","145.9"
"2020","256","2236","10.3","2084","718","816","550","231","24","1","89051","569,928","113.3"
"2021","158","4536","3.2","784","476","309","0","144","14","0","40176","257,127","51.8"
"2022","205","2551","7.5","984","638","345","0","191","14","0","33800","216,322","43.5"
"2023","181","1713","8.8","1102","661","441","0","151","30","0","32095","205,406","41.4"
"2024","291","2213","12.2","1525","1014","511","0","271","20","0","27898","178,548","35.9"
"2025","97","1730","5.3","453","349","104","0","92","5","0","20893","133,716","26.9"
"2026","410","3876","10.1","1638","1341","297","0","390","20","0","61928","396,340","79.8"
"2027","57","826","5.8","363","196","167","0","48","9","0","18381","117,640","23.7"
"2028","43","596","6.7","205","173","32","0","40","3","0","13647","87,338","17.6"
"2029","123","1325","8.7","620","467","154","0","115","8","0","26894","172,120","34.6"
"2030","311","3521","8.0","1712","1184","528","0","283","28","0","52119","333,559","67.3"
"2031","510","5190","9.4","2472","1675","797","0","488","22","0","92295","590,691","119.1"
"2032","282","3206","8.4","1204","941","263","0","270","12","0","41528","265,780","53.5"
"2033","156","1399","10.2","1292","553","252","487","142","10","4","39241","251,141","50.5"
"2034","338","2669","12.1","1408","1175","233","0","322","16","0","44349","283,832","57.1"
"2035","845","7769","10.5","3295","2698","597","0","814","31","0","99434","636,380","128.1"
"2036","867","6836","12.0","3673","2816","857","0","821","46","0","144448","924,466","187.8"
