postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"3921","57","115","47.8","168","144","23","0","55","2","0","3911","25,029","4.8"
"3922","1270","8857","13.7","6003","4509","1251","243","1213","56","1","5440","34,819","6.7"
"3923","132","513","25.1","525","480","46","0","129","3","0","941","6,022","1.2"
"3925","524","2932","17.0","2593","1851","743","0","498","26","0","1186","7,589","1.5"
"3926","443","1876","21.7","2045","1534","511","0","408","35","0","42769","273,721","52.3"
"3927","241","1231","18.6","1009","808","202","0","229","12","0","20181","129,160","24.8"
"3928","76","276","20.7","535","245","291","0","57","19","0","13308","85,172","16.3"
"3929","189","929","18.1","1065","671","395","0","168","21","0","24303","155,540","29.7"
"3930","1309","6560","18.8","5959","4903","1056","0","1236","73","0","133483","854,289","163.5"
"3931","2006","8822","22.1","7052","5975","1077","0","1952","54","0","193470","1,238,206","237.9"
"3933","120","374","22.7","1044","407","638","0","85","35","0","28054","179,548","34.3"
"3934","1632","8538","18.4","6226","5357","868","0","1568","64","0","132280","846,592","162"
"3936","1047","8776","11.4","4305","3413","892","0","999","48","0","130666","836,265","160.4"
"3937","197","876","19.4","1205","668","537","0","170","27","0","30518","195,315","37.3"
"3938","342","2071","16.2","1228","1141","86","0","335","7","0","27702","177,291","33.9"
"3939","1500","9017","15.9","6275","4667","1608","0","1434","66","0","164584","1,053,341","201.9"
"3940","326","3648","8.7","1105","952","152","0","316","10","0","43269","276,922","53"
"3941","1268","12080","10.2","4768","4344","424","0","1236","32","0","156131","999,240","191.2"
"3942","310","3549","8.5","1170","1092","78","0","303","7","0","43350","277,440","53.1"
"3943","297","3042","9.1","1405","1032","374","0","278","19","0","45564","291,608","57.1"
"3944","114","1470","6.3","625","332","293","0","93","21","0","28186","180,391","35.3"
"3945","184","491","35.2","894","675","218","0","173","11","0","17678","113,137","21.6"
"3946","39","101","37.6","159","149","10","0","38","1","0","4782","30,605","5.9"
"3950","582","2333","23.7","3087","2014","818","256","554","27","1","14690","94,016","18"
"3951","153","489","29.2","734","574","160","0","143","10","0","17994","115,161","22"
"3953","930","3351","25.6","4707","3072","1436","200","859","70","1","51882","332,042","63.5"
"3954","59","171","33.3","239","214","25","0","57","2","0","7329","46,907","9"
"3956","600","2910","19.9","2510","2003","507","0","579","21","0","30284","193,818","37.1"
"3957","41","139","28.1","178","147","30","0","39","2","0","6032","38,608","7.4"
"3958","27","176","14.8","131","115","16","0","26","1","0","7032","45,006","8.6"
"3959","303","1333","21.7","1105","867","238","0","289","14","0","19338","123,764","23.7"
"3960","481","1538","30.1","2047","1495","552","0","463","18","0","27772","177,742","34"
"3962","179","563","31.1","669","559","111","0","175","4","0","12092","77,390","15.3"
"3964","27","100","27.0","103","103","0","0","27","0","0","1567","10,028","1.9"
"3965","46","128","35.2","169","159","10","0","45","1","0","463","2,965",".6"
"3966","77","290","24.8","342","247","94","0","72","5","0","10809","69,181","13.6"
"3967","24","65","35.4","102","92","10","0","23","1","0","4538","29,043","5.7"
"3971","568","2342","23.3","2453","1933","371","150","546","21","1","65081","416,521","81.9"
"3975","1715","4783","35.4","7568","6373","478","717","1691","22","2","83090","531,774","104.3"
"3976","2003","8667","23.0","6526","6381","145","0","1996","7","0","110521","707,332","130.2"
"3977","9251","37487","24.4","36693","34662","2032","0","9152","99","0","622787","3,985,837","763.4"
"3978","2161","5859","36.4","11684","10934","751","0","2133","28","0","128226","820,645","151.7"
"3979","53","143","36.4","258","241","16","0","52","1","0","6342","40,591","7.8"
"3980","424","1348","30.3","1857","1567","290","0","408","16","0","31790","203,459","38.9"
"3981","536","2017","24.6","2958","1856","947","155","496","39","1","70697","452,464","86.7"
"3984","837","3390","24.1","3310","3007","304","0","816","21","0","46192","295,628","56.6"
"3987","219","574","35.4","982","754","228","0","203","16","0","9955","63,710","12.2"
"3988","160","444","32.9","806","563","243","0","146","14","0","13672","87,504","16.7"
"3990","25","53","47.2","102","102","0","0","25","0","0","3408","21,813","4.2"
"3991","82","192","41.1","332","298","33","0","79","3","0","7710","49,347","9.4"
"3992","147","540","25.4","662","521","141","0","137","10","0","14449","92,475","17.7"
"3995","1409","6136","22.4","5942","5008","934","0","1374","35","0","17898","114,547","21.9"
"3996","926","4428","20.4","3827","3241","586","0","904","22","0","14306","91,557","17.5"
"4000","196","1507","11.3","1305","608","697","0","171","25","0","63168","404,278","91.9"
"4005","451","1923","21.4","2418","1660","759","0","412","39","0","46448","297,267","67.7"
"4006","298","988","22.5","3221","861","2109","251","222","75","1","92613","592,722","135.1"
"4007","626","2879","19.3","3999","2412","1236","351","556","69","1","63892","408,907","93.3"
"4008","57","127","25.2","6855","121","1008","5725","32","22","3","127728","817,456","187"
"4010","155","485","29.7","798","542","256","0","144","11","0","19585","125,341","28.8"
"4011","1089","4259","24.3","5135","4184","952","0","1035","54","0","90569","579,644","133.1"
"4012","1709","6214","26.9","6612","6081","531","0","1669","40","0","92952","594,895","135.6"
"4013","443","1707","23.8","2414","1464","949","0","407","36","0","55027","352,173","81.8"
"4014","1767","4699","36.3","7953","6109","1843","0","1704","63","0","145444","930,843","215.5"
"4017","5285","13671","38.2","18874","17831","1043","0","5227","58","0","191468","1,225,395","279.3"
"4018","1775","6010","29.3","8119","5678","179","2261","1762","11","2","60749","388,796","88.6"
"4019","2375","7383","31.2","9428","8023","1405","0","2302","73","0","120360","770,302","176.6"
"4020","2954","7909","36.4","11694","10602","1092","0","2881","73","0","117735","753,502","171.7"
"4021","1423","3950","35.6","5081","4664","417","0","1405","18","0","56223","359,826","82.1"
"4022","1252","2420","51.3","3879","3645","233","0","1242","10","0","43704","279,703","63.8"
"4025","187","337","53.7","492","395","98","0","181","6","0","7084","45,338","10.3"
"4030","1131","4017","27.1","5079","4290","789","0","1089","42","0","67184","429,978","98"
"4031","1116","4170","25.9","5017","4046","970","0","1078","38","0","63159","404,220","92.5"
"4032","1162","4759","23.9","5410","4009","677","724","1138","22","2","87805","561,952","128"
"4034","5376","17032","31.0","20635","18573","2062","0","5272","104","0","306443","1,961,234","450.2"
"4035","4331","8568","49.5","17726","16472","1254","0","4245","86","0","150344","962,204","219.2"
"4036","1097","2570","42.0","4817","3853","336","628","1080","16","1","38000","243,202","55.4"
"4037","1367","2544","52.6","5804","5429","375","0","1338","29","0","44103","282,259","64.3"
"4051","2338","8648","25.9","10476","8695","1781","0","2242","96","0","152864","978,332","223.7"
"4053","4876","16633","28.9","18930","17262","1493","175","4800","75","1","233061","1,491,594","340.4"
"4054","1813","5418","33.2","6399","6208","191","0","1800","13","0","69952","447,693","102.1"
"4055","3280","7009","46.1","12830","11970","860","0","3231","49","0","108745","695,967","158.6"
"4059","698","3053","21.8","2964","2378","586","0","667","31","0","45990","294,333","67.2"
"4060","1248","4014","30.0","5517","4757","759","0","1204","44","0","59344","379,801","86.5"
"4061","2285","6033","37.3","9009","8436","573","0","2249","36","0","86575","554,078","126.3"
"4064","752","3367","20.8","4620","2796","967","856","699","52","1","58508","374,451","85.7"
"4065","943","3324","27.3","4110","3546","564","0","907","36","0","42391","271,303","61.8"
"4066","837","2931","27.0","4306","3083","1223","0","790","47","0","63067","403,631","92.1"
"4067","468","1644","26.5","4620","1751","497","2373","436","27","5","42624","272,792","62.1"
"4068","1608","5565","27.5","7782","6089","1188","505","1531","76","1","97848","626,225","142.6"
"4069","4728","12138","37.2","21256","18289","2967","0","4519","209","0","235771","1,508,933","330.5"
"4070","1962","4260","44.6","8051","7219","832","0","1898","64","0","83082","531,724","116.4"
"4073","1537","3181","46.4","6945","5499","1446","0","1476","61","0","61468","393,394","90.3"
"4074","3977","8895","43.8","15724","13818","1906","0","3894","83","0","161254","1,032,027","236.3"
"4075","2525","8343","29.3","10201","9005","1197","0","2448","77","0","129606","829,477","189.6"
"4076","707","2051","30.7","8348","2090","3057","3201","629","77","1","168151","1,076,167","241.2"
"4077","3468","11779","29.0","12607","11242","1364","0","3419","49","0","189276","1,211,370","278.4"
"4078","3648","9190","39.4","13128","12569","559","0","3621","27","0","129181","826,757","181"
"4101","1004","3165","30.1","4873","3322","1552","0","953","51","0","93195","596,448","135.7"
"4102","488","1562","29.0","2557","1553","777","226","453","34","1","47332","302,926","69.1"
"4103","1075","3980","26.6","4019","3621","398","0","1058","17","0","52102","333,450","76"
"4104","509","1985","24.2","2353","1809","543","0","480","29","0","31293","200,276","45.8"
"4105","1230","4496","26.3","5105","4097","1008","0","1181","49","0","78770","504,126","115.7"
"4106","256","696","27.6","7694","668","1921","5104","192","59","5","114680","733,955","171.5"
"4107","834","2371","32.9","4138","2761","1377","0","780","54","0","71245","455,970","105.8"
"4108","844","2250","34.1","4547","2712","1835","0","767","77","0","114843","734,992","171.2"
"4109","5874","12856","45.0","20717","19345","1372","0","5789","85","0","201242","1,287,946","293.5"
"4110","1829","4202","40.0","11724","6501","4222","1001","1679","148","2","250703","1,604,500","374.2"
"4111","122","241","49.0","439","379","60","0","118","4","0","12556","80,356","18.3"
"4112","1342","2711","48.8","4927","4682","245","0","1324","18","0","39106","250,281","57"
"4113","3855","10643","35.7","14445","12245","1594","606","3801","51","3","144930","927,553","211.4"
"4114","2478","10639","22.8","8910","7319","1591","0","2428","50","0","130657","836,206","190.9"
"4115","3218","6649","48.0","11861","11343","518","0","3192","26","0","112222","718,221","164.3"
"4116","4075","9279","43.5","14265","13726","538","0","4034","41","0","130061","832,388","189.6"
"4117","256","467","50.3","2010","908","655","448","235","19","2","28410","181,822","41.9"
"4118","4851","10672","44.7","18295","16840","1252","203","4773","77","1","183673","1,175,508","267.7"
"4119","1105","2436","42.8","5199","3726","1473","0","1043","62","0","55016","352,103","80.1"
"4120","538","2114","24.7","2196","1893","303","0","523","15","0","38304","245,144","55.8"
"4121","2626","8728","29.4","10342","9487","855","0","2568","58","0","111202","711,694","162.3"
"4122","4881","14924","32.1","18523","16542","1683","299","4796","83","2","229060","1,465,986","334.7"
"4123","3265","7271","43.9","12847","11657","1190","0","3191","74","0","110388","706,483","161.3"
"4124","3979","6690","57.1","16702","14444","2258","0","3821","158","0","153389","981,690","214.9"
"4125","1587","2700","57.4","6270","5642","627","0","1549","38","0","76234","487,900","111.1"
"4127","3516","9815","34.7","14731","11602","2388","741","3410","105","1","167172","1,069,902","243.6"
"4128","2707","5614","47.4","10154","9557","597","0","2660","47","0","70980","454,275","103.5"
"4129","1029","2249","43.2","4668","3401","1266","0","972","57","0","58651","375,363","86.2"
"4130","1524","3055","47.7","6530","5573","957","0","1458","66","0","82377","527,212","120.3"
"4131","1178","3487","33.0","4509","3810","699","0","1150","28","0","78560","502,784","115.4"
"4132","2920","8842","32.6","10526","9482","1043","0","2885","35","0","149031","953,795","219.4"
"4133","2533","7211","34.2","9758","8694","1064","0","2468","65","0","126878","812,022","184.9"
"4151","1133","3886","27.8","5400","4229","1171","0","1080","53","0","74035","473,825","108.3"
"4152","5288","17130","30.3","20583","18691","1892","0","5185","103","0","225264","1,441,689","328.5"
"4153","657","1632","38.9","2679","2350","329","0","635","22","0","34995","223,965","51.1"
"4154","1644","3807","41.7","7110","6159","951","0","1587","57","0","79157","506,608","115.9"
"4155","260","487","45.0","1765","941","824","0","219","41","0","38283","245,013","56.1"
"4156","602","1036","54.6","2761","2254","507","0","566","36","0","38048","243,506","55.7"
"4157","3322","7582","42.5","13048","11123","1924","0","3221","101","0","162213","1,038,165","236.5"
"4158","473","1815","25.8","1544","1488","57","0","468","5","0","18239","116,732","26.6"
"4159","2630","5255","49.5","8914","8522","393","0","2601","29","0","82866","530,344","120.8"
"4160","3284","6587","49.0","11750","10913","837","0","3230","54","0","114897","735,341","167.5"
"4161","2853","6161","45.9","10113","9168","433","512","2827","25","1","93136","596,071","135.8"
"4163","2218","5606","38.0","9168","7019","1646","502","2130","87","1","109961","703,751","160.7"
"4164","2762","5386","49.8","11469","10243","1226","0","2682","80","0","106146","679,333","154.8"
"4165","7002","13647","50.5","25326","23270","1857","200","6895","106","1","266861","1,707,911","389.1"
"4169","509","2077","22.6","2763","1794","799","171","469","39","1","42697","273,260","62.3"
"4170","2122","8558","23.6","9625","7614","2011","0","2017","105","0","134345","859,808","197.1"
"4171","1340","4569","27.3","6701","5130","1571","0","1249","91","0","69242","443,146","101.1"
"4172","528","1754","28.1","2860","1821","1039","0","493","35","0","87006","556,841","130.1"
"4173","1286","3367","37.0","4961","4027","935","0","1246","40","0","63585","406,947","93.7"
"4174","396","911","40.7","2363","1264","796","303","371","24","1","60339","386,170","90.2"
"4178","3257","9915","32.1","12439","10559","1880","0","3183","74","0","212824","1,362,076","310.4"
"4179","2713","7757","34.3","9691","8879","812","0","2657","56","0","99187","634,795","144.6"
"4183","440","1806","23.4","1598","1302","296","0","422","18","0","26124","167,193","38.1"
"4184","1920","4758","40.1","5754","5568","185","0","1908","12","0","32163","205,845","46.9"
"4205","953","2359","39.9","3223","2941","282","0","942","11","0","32013","204,881","46.7"
"4207","8568","22811","36.1","39950","30170","8038","1742","8225","337","6","517224","3,310,231","760.4"
"4208","3466","7332","45.5","15421","12866","2555","0","3335","131","0","158880","1,016,830","232.8"
"4209","6017","19355","29.9","31074","24449","4047","2579","5793","222","2","318236","2,036,710","452.5"
"4210","3372","7396","43.7","14911","12862","2048","0","3231","141","0","137686","881,188","195.7"
"4211","8904","22882","37.6","37829","31915","5117","797","8613","287","4","389987","2,495,919","555.8"
"4212","4878","11370","40.5","22902","18368","4036","498","4606","271","1","222743","1,425,557","317.6"
"4213","4811","10049","46.1","20518","17724","2794","0","4634","177","0","197714","1,265,369","281.1"
"4214","5610","13892","38.5","25602","18932","6355","315","5353","256","1","290716","1,860,582","417.3"
"4215","2943","14854","18.9","13188","9332","3260","596","2807","134","2","224741","1,438,340","320.4"
"4216","4702","13955","32.7","17946","15428","2518","0","4558","144","0","213448","1,366,065","304"
"4217","2616","8112","30.3","12477","9876","2601","0","2461","155","0","184722","1,182,219","262.6"
"4218","3307","9750","32.3","14406","11875","2339","192","3148","158","1","171045","1,094,691","243.3"
"4219","17","243","5.8","87","37","50","0","14","3","0","","",""
"4220","3615","10640","32.2","17603","12186","3832","1584","3429","185","1","211142","1,351,312","302.5"
"4221","3706","9307","39.1","13539","12025","878","636","3643","62","1","137083","877,332","194.9"
"4223","2288","5293","41.6","9146","7389","1757","0","2200","88","0","97746","625,571","139.8"
"4224","579","2169","26.0","2375","1890","485","0","563","16","0","26780","171,390","38.1"
"4225","281","1248","20.6","1323","911","412","0","257","24","0","36148","231,345","51.5"
"4226","4120","12105","33.3","16317","14661","1657","0","4034","86","0","211286","1,352,229","300.9"
"4227","2520","7602","32.2","10009","8882","1127","0","2451","69","0","103366","661,541","147.2"
"4228","997","1704","55.7","4571","3764","607","200","949","47","1","47115","301,534","66.9"
"4230","9","394","2.0","34","24","10","0","8","1","0","","",""
"4270","881","1428","58.5","3959","3260","698","0","835","46","0","39572","253,258","57.7"
"4271","347","1324","26.1","939","924","15","0","346","1","0","","",""
"4272","1030","2113","46.6","4401","3669","731","0","985","45","0","61731","395,080","87.7"
"4275","690","1305","49.2","3388","2444","943","0","642","48","0","48657","311,403","69.1"
"4280","3726","5768","61.0","17028","13965","2811","252","3521","204","1","154849","991,035","216.9"
"4285","3661","8100","43.4","15929","13131","2799","0","3519","142","0","223412","1,429,839","313.1"
"4287","119","374","28.9","636","396","240","0","108","11","0","15031","96,196","21"
"4300","7725","21794","34.6","34396","28931","4050","1415","7532","190","3","367202","2,350,093","513.6"
"4301","3467","10471","32.7","13287","12516","771","0","3422","45","0","155303","993,939","217.4"
"4303","408","1472","27.3","1349","1238","111","0","402","6","0","29875","191,203","41.8"
"4304","2199","7568","28.5","8346","6983","1031","333","2156","42","1","120981","774,277","169.5"
"4305","8282","26346","30.9","31244","26997","3143","1104","8133","147","2","401670","2,570,689","562.6"
"4306","7687","13933","53.3","33046","28883","3682","481","7426","260","1","358200","2,292,478","483.5"
"4307","314","580","51.2","1387","1159","228","0","297","17","0","22873","146,386","32"
"4309","584","1351","41.7","2481","2110","371","0","564","20","0","50869","325,562","71.2"
"4310","1244","2552","46.9","4842","4014","828","0","1198","46","0","79327","507,694","111"
"4311","2027","4404","44.6","8414","7367","1046","0","1964","63","0","143908","921,011","201.2"
"4312","758","1321","55.4","3064","2502","561","0","732","26","0","41299","264,315","57.7"
"4313","549","1119","46.9","2173","1730","443","0","525","24","0","37468","239,792","52.4"
"4340","961","2266","40.7","3903","3297","607","0","923","38","0","71251","456,006","99.6"
"4341","3215","5999","52.1","13129","11524","1605","0","3126","89","0","146464","937,372","205.1"
"4342","518","1193","41.5","2225","1801","424","0","495","23","0","38546","246,697","53.9"
"4343","1769","4254","39.0","12349","6180","2640","3528","1657","111","1","149834","958,938","224.6"
"4344","461","1102","39.1","2313","1730","582","0","431","30","0","35100","224,640","52.6"
"4345","1","30","","2","2","0","0","1","0","0","","",""
"4346","216","395","53.2","948","866","82","0","210","6","0","11350","72,638","15.9"
"4347","280","522","49.4","1482","946","536","0","258","22","0","20416","130,659","30.5"
"4350","10502","47243","21.4","47520","35435","9723","2363","10102","396","4","926051","5,926,729","1391"
"4352","4877","11044","42.1","22910","17994","3962","954","4655","221","1","331032","2,118,608","494.9"
"4353","53","129","38.8","270","192","78","0","50","3","0","5969","38,199","8.8"
"4354","226","509","42.6","1030","822","207","0","217","9","0","16516","105,702","24.3"
"4355","462","1212","37.3","1636","1476","160","0","452","10","0","36690","234,815","54"
"4356","712","2002","32.9","3588","2328","976","284","659","52","1","56076","358,887","82.3"
"4357","384","1136","31.4","2411","1285","671","455","357","25","2","54467","348,587","80"
"4358","348","911","35.7","1624","1307","317","0","325","23","0","34203","218,900","51.1"
"4359","217","522","39.5","931","769","162","0","206","11","0","18851","120,649","28.2"
"4360","107","278","30.9","820","335","485","0","86","21","0","8589","54,969","12.8"
"4361","408","1227","30.3","2253","1392","861","0","372","36","0","50709","324,536","75.9"
"4362","502","1095","41.1","3166","1687","1479","0","450","52","0","42548","272,305","63.6"
"4363","130","231","54.1","485","406","78","0","125","5","0","8480","54,270","12.7"
"4364","47","79","53.2","287","198","90","0","42","5","0","6313","40,405","9.3"
"4365","94","291","29.9","484","341","143","0","87","7","0","9071","58,052","13.5"
"4370","2557","8614","28.1","12224","8961","3263","0","2424","133","0","78151","500,168","113"
"4371","146","354","40.4","570","524","46","0","143","3","0","13983","89,488","20.2"
"4372","34","65","52.3","123","123","0","0","34","0","0","3350","21,440","4.8"
"4373","155","445","33.0","722","529","193","0","147","8","0","16841","107,781","24.4"
"4374","72","191","33.0","385","199","186","0","63","9","0","7927","50,735","11.5"
"4375","32","115","26.1","146","105","41","0","30","2","0","5147","32,939","7.4"
"","","115","","","","","","","","","","",""
"4376","59","164","31.7","449","182","267","0","52","7","0","5697","36,459","8.2"
"4377","113","256","40.2","648","403","244","0","103","10","0","7230","46,274","10.5"
"","","256","","","","","","","","","","",""
"4378","103","216","46.8","422","375","47","0","101","2","0","11488","73,525","16.6"
"4380","1336","3693","34.6","6093","4784","1309","0","1276","60","0","102307","654,768","148.2"
"","","3693","","","","","","","","","","",""
"4381","111","322","32.0","496","384","112","0","103","8","0","9042","57,867","13.1"
"4382","100","302","29.1","543","332","210","0","88","12","0","11516","73,700","16.7"
"4383","133","329","39.8","503","479","24","0","131","2","0","8779","56,183","12.7"
"4384","1","25","","2","2","0","0","1","0","0","1369","8,760","2"
"4385","172","676","23.4","826","612","213","0","158","14","0","23161","148,233","33.5"
"","","676","","","","","","","","","","",""
"4387","174","611","24.7","1179","628","550","0","151","23","0","28368","181,556","41.1"
"4388","70","202","31.7","304","202","103","0","64","6","0","9597","61,419","14.5"
"4390","780","2780","25.9","4995","2864","1433","698","720","59","1","103808","664,373","157.3"
"4400","383","761","48.9","1667","1449","218","0","372","11","0","17187","109,994","25.2"
"4401","773","2209","32.7","103278","2617","868","99793","722","49","2","83993","537,557","123.8"
"4402","54","207","26.1","206","206","0","0","54","0","0","5586","35,751","8.2"
"4403","131","368","31.8","889","475","414","0","117","14","0","27265","174,496","40.1"
"4404","56","212","24.1","348","220","128","0","51","5","0","19798","126,706","29.1"
"4405","1665","6264","24.3","9810","5815","3995","0","1520","145","0","191252","1,224,011","282.4"
"4406","181","697","23.7","138577","637","348","137592","165","15","1","82614","528,732","121.3"
"4407","68","283","21.6","418","277","141","0","61","7","0","14051","89,928","20.6"
"4408","147","286","50.0","497","426","70","0","143","4","0","8927","57,135","13.1"
"4410","227","547","40.4","915","829","86","0","221","6","0","19874","127,193","29.2"
"4411","50","136","35.3","224","193","31","0","48","2","0","10416","66,664","15.3"
"4412","39","85","43.5","185","158","27","0","37","2","0","14123","90,385","20.7"
"4413","853","3686","21.7","24218","2892","1257","20068","801","50","2","113953","729,302","167.5"
"4415","262","1249","18.7","1511","821","690","0","233","29","0","49678","317,938","76.2"
"4416","59","269","18.6","631","216","116","300","50","8","1","16423","105,106","25.1"
"4417","127","391","30.9","548","462","87","0","121","6","0","10766","68,901","16.5"
"4418","14","53","24.5","50","38","12","0","13","1","0","4440","28,416","6.8"
"4419","129","404","29.7","586","428","159","0","120","9","0","40660","260,225","62.3"
"4420","172","612","26.3","865","700","164","0","161","11","0","24283","155,410","37.2"
"4421","249","1349","17.0","1214","887","327","0","230","19","0","18801","120,325","27.6"
"4422","67","279","19.7","384","212","172","0","55","12","0","17277","110,575","26.5"
"4423","22","106","17.9","145","93","52","0","19","3","0","6291","40,260","9.6"
"4424","32","129","22.5","148","116","31","0","29","3","0","7729","49,468","11.8"
"4425","20","143","13.3","99","86","13","0","19","1","0","5529","35,388","8.5"
"4427","69","187","35.3","239","205","34","0","66","3","0","5125","32,802","7.9"
"4428","130","322","37.9","462","350","111","0","122","8","0","20418","130,672","31.3"
"4454","155","409","34.5","799","507","292","0","141","14","0","24938","159,601","38.3"
"4455","1271","4259","27.8","5474","3560","1914","0","1184","87","0","128875","824,801","198.4"
"4461","9","31","","39","19","20","0","7","2","0","1456","9,321","2.2"
"4462","10","66","12.1","33","13","21","0","8","2","0","1654","10,588","2.5"
"4465","279","739","35.5","1087","848","239","0","262","17","0","19978","127,861","30.6"
"4467","38","134","25.4","157","99","58","0","34","4","0","2859","18,296","4.4"
"4468","70","161","39.1","325","245","81","0","63","7","0","6230","39,873","9.7"
"4470","414","1767","21.8","2900","1636","506","758","386","27","1","42642","272,912","66.2"
"4472","156","753","18.3","897","584","313","0","138","18","0","33332","213,326","52.1"
"4477","87","266","28.9","504","344","159","0","77","10","0","8281","52,996","12.8"
"4478","71","238","24.4","531","241","290","0","58","13","0","8591","54,983","13.4"
"4480","83","352","20.5","442","311","131","0","72","11","0","21362","136,716","34.2"
"4481","11","76","10.5","99","46","53","0","8","3","0","4026","25,766","6.5"
"4482","5","161","2.5","38","13","25","0","4","1","0","3401","21,769","5.5"
"4486","107","368","25.8","594","391","203","0","95","12","0","19993","127,952","29.8"
"4487","409","1405","25.2","2609","1501","1108","0","354","55","0","57643","368,913","88.5"
"4488","39","153","25.5","137","137","0","0","39","0","0","7760","49,663","12"
"4489","12","45","","60","60","0","0","12","0","0","3298","21,109","5.1"
"4490","245","716","32.3","1211","954","256","0","231","14","0","35353","226,262","54.8"
"4491","17","65","26.2","55","55","0","0","17","0","0","3334","21,336","5.1"
"4492","55","140","27.1","691","186","505","0","38","17","0","3852","24,652","6.2"
"4494","29","93","26.9","171","115","56","0","25","4","0","7402","47,374","11.2"
"4496","40","131","29.8","215","204","11","0","39","1","0","6533","41,814","9.8"
"4497","44","172","22.1","245","169","76","0","38","6","0","10658","68,214","16.1"
"4500","6980","15954","42.3","31524","25438","4875","1210","6752","226","2","330558","2,115,570","486.2"
"4501","885","2548","33.5","3515","3034","481","0","854","31","0","40775","260,959","59.9"
"4502","1511","3285","45.8","5701","5544","157","0","1503","8","0","48215","308,575","70.3"
"4503","6076","19476","30.8","24040","22545","1246","250","5999","76","1","239553","1,533,138","349.4"
"4504","3481","6507","52.3","16077","13198","1847","1032","3400","79","2","149219","954,999","219.4"
"4505","4453","8276","52.6","18254","16382","1872","0","4354","99","0","156501","1,001,606","228.4"
"4506","3309","8262","39.1","13975","12044","1528","404","3231","77","1","154700","990,083","225.4"
"4507","4864","9834","48.7","16650","15407","1243","0","4789","75","0","133379","853,629","179.5"
"4508","2738","7356","36.6","10119","9234","885","0","2694","44","0","105075","672,477","153.5"
"4509","4402","12369","34.8","19075","16457","1753","865","4302","98","2","185901","1,189,767","270.6"
"4510","8081","19824","39.7","34218","29316","4251","652","7867","212","2","354811","2,270,788","478.4"
"4511","2317","4123","55.3","8123","7636","487","0","2279","38","0","70334","450,137","102.5"
"4512","738","1257","54.7","3553","2723","830","0","688","50","0","48034","307,420","64.5"
"4514","1487","2687","52.9","6315","5399","917","0","1422","65","0","77963","498,966","104.7"
"4515","822","1797","44.1","3496","2931","566","0","793","29","0","50297","321,902","67.7"
"4516","974","1313","71.3","4190","3647","543","0","936","38","0","56665","362,655","76.2"
"4517","190","308","58.8","869","682","187","0","181","9","0","14611","93,512","19.6"
"4518","1105","1972","54.4","4366","3861","505","0","1072","33","0","49542","317,071","66.6"
"4519","1729","3394","49.4","6892","6031","861","0","1677","52","0","85026","544,167","114.3"
"4520","2727","4579","56.0","12366","10046","2319","0","2564","163","0","129226","827,047","188.3"
"4521","1006","1919","50.6","4225","3749","476","0","971","35","0","48552","310,734","65.2"
"4550","861","1726","49.0","3163","2938","225","0","845","16","0","31763","203,285","42.7"
"4551","10978","23129","46.6","39773","35289","3859","625","10772","204","2","388518","2,486,518","553.4"
"4552","2194","4203","51.0","7498","6743","755","0","2145","49","0","95769","612,924","128.6"
"4553","1444","2181","63.7","6447","5642","805","0","1389","55","0","46444","297,241","62.5"
"4554","337","681","47.6","1438","1264","174","0","324","13","0","17096","109,415","22.9"
"4555","1430","2562","54.3","5174","4635","538","0","1391","39","0","59330","379,712","79.7"
"4556","7341","16814","42.4","28863","23743","4162","958","7135","203","3","313950","2,009,283","447.3"
"4557","2495","5894","41.4","9935","8991","944","0","2439","56","0","106045","678,686","150.8"
"4558","2171","7237","28.8","8814","6605","2209","0","2087","84","0","113303","725,141","161.2"
"4559","1159","2537","43.4","5276","4259","1018","0","1102","57","0","55001","352,006","78.1"
"4560","5956","13687","42.5","22457","19890","2567","0","5819","137","0","231991","1,484,741","329.9"
"4561","1623","2717","56.9","22542","5916","1626","15000","1545","77","1","80627","516,013","115.1"
"4562","1686","3126","51.2","7593","6384","1209","0","1600","86","0","79097","506,220","112.4"
"4563","2098","3579","56.4","8790","7297","1493","0","2018","80","0","88021","563,335","125.2"
"4564","1907","4398","42.7","6848","6209","639","0","1880","27","0","71114","455,127","101.1"
"4565","2801","6647","41.0","10709","9254","1455","0","2727","74","0","107865","690,333","153.4"
"4566","1620","4234","35.7","8366","5804","2311","251","1513","106","1","88824","568,472","127.1"
"4567","1571","5422","27.5","7115","5890","1225","0","1493","78","0","90919","581,883","129.3"
"4568","796","1514","50.7","3221","2756","465","0","768","28","0","33331","213,319","46.7"
"4569","344","682","49.3","1254","1140","114","0","336","8","0","13419","85,881","18.8"
"4570","8258","19202","41.5","35967","28993","5132","1843","7972","284","2","440950","2,822,078","618.5"
"4571","162","411","38.0","652","563","89","0","156","6","0","10688","68,403","15"
"4572","314","1078","28.3","1362","1206","156","0","305","9","0","17735","113,504","25.2"
"4573","3895","12053","31.3","16247","14123","2124","0","3777","118","0","172849","1,106,234","246.2"
"4574","245","665","35.2","907","752","154","0","234","11","0","19082","122,124","25.6"
"4575","4470","9155","47.4","17847","14833","2463","550","4338","131","1","181965","1,164,575","259.5"
"4580","1411","3112","45.0","4626","4403","223","0","1399","12","0","46591","298,182","65.4"
